"Country","PopulationM","Mar16","Mar17","Mar18","Mar19","Mar20","Mar21","Mar22","Mar23","Mar24","Mar25","Mar26","Mar27","Mar28","Mar29","Mar30","Mar31"
"Austria",8.847037,0,2,0,1,2,0,2,8,9,5,4,18,16,0,18,22
"Belgium",11.422068,0,1,0,9,7,16,30,8,13,34,56,42,69,64,78,82
"Bulgaria",7.024216,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
"Croatia",4.0894,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0
"Cyprus",1.189265,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,1
"Czechia",10.625695,0,0,0,0,0,0,0,1,0,2,3,3,0,2,5,8
"Denmark",5.797446,1,0,3,0,2,3,4,0,11,8,2,7,11,13,7,5
"Estonia",1.320884,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"Finland",5.51805,0,0,0,0,0,0,1,0,0,0,2,1,3,2,2,2
"France",66.987244,36,21,27,69,128,78,112,112,186,240,231,365,299,319,292,418
"Germany",82.927922,4,1,0,0,30,2,22,27,32,23,49,55,72,64,66,128
"Greece",10.727668,1,0,1,0,0,3,5,2,2,3,2,4,2,4,6,5
"Hungary",9.768785,1,0,0,0,0,3,0,3,1,2,0,0,1,2,2,1
"Ireland",4.853506,0,0,0,0,1,0,0,1,2,1,2,10,3,14,10,8
"Italy",60.431283,370,347,347,473,429,625,795,649,601,743,685,660,971,887,758,810
"Latvia",1.926542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lithuania",2.789533,0,0,0,0,0,1,0,0,0,1,2,0,1,2,0,0
"Luxembourg",0.607728,0,0,0,1,2,1,3,0,0,0,0,1,6,3,3,1
"Malta",0.48353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands",17.231017,8,4,19,15,18,30,30,43,34,63,80,78,112,93,132,93
"Poland",37.978548,0,1,1,0,0,0,0,2,1,2,4,2,0,2,4,9
"Portugal",10.281762,0,0,1,1,1,3,6,2,9,10,10,17,16,24,19,21
"Romania",19.473936,0,0,0,0,0,0,0,2,5,4,2,4,7,5,11,4
"Slovakia",5.447011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slovenia",2.067372,0,0,1,0,0,0,0,0,0,2,1,1,4,0,2,0
"Spain",46.723749,152,21,182,107,169,235,324,394,462,514,738,655,769,832,838,812
"Sweden",10.183175,2,4,1,2,0,6,4,1,4,11,6,24,26,10,8,36
